date,pool_price,visser_prod,bissell_prod,month,combined_production,combined_revenue
2025-10-08,68.11652173913043,39.6,20.876476666666665,10,30.238238333333335,2059.7236187855074
2025-10-09,99.1895652173913,53.7,28.003463333333332,10,40.851731666666666,4052.0655023942027
2025-10-10,46.96826086956521,49.5,25.31397,10,37.406985,1756.941029823913
2025-10-11,4.316521739130435,9.9,8.280843333333333,10,9.090421666666668,39.239002742028994
2025-10-12,9.231739130434784,12.4,11.190493333333334,10,11.795246666666667,108.89064020579713
2025-10-13,32.563478260869566,40.5,25.490130000000004,10,32.995065000000004,1074.4340818434785
2025-10-14,58.83478260869565,52.2,28.231596666666665,10,40.21579833333333,2366.0877523768113
2025-10-15,33.466521739130435,48.5,26.30116666666667,10,37.40058333333334,1251.6674351811596
2025-10-16,83.16,48.3,24.690183333333334,10,36.49509166666667,3034.931823
2025-10-17,17.95,45.1,24.109399999999997,10,34.6047,621.154365
2025-10-18,14.403478260869566,49.0,24.99470666666667,10,36.997353333333336,532.8905744463768
2025-10-19,17.475652173913044,15.9,11.058463333333334,10,13.479231666666667,235.5583641782609
2025-10-20,21.76,10.7,18.16354,10,14.43177,314.0353152
2025-10-21,13.118260869565216,33.9,21.095746666666667,10,27.49787333333333,360.72427574492747
2025-10-22,36.60391304347826,3.3,21.717296666666666,10,12.508648333333333,457.8654758847826
2025-10-23,13.029565217391305,41.6,19.747506666666666,10,30.673753333333334,399.6656695188406
2025-10-24,12.671739130434782,13.5,10.593960000000001,10,12.046980000000001,152.65618786956523
2025-10-25,11.52391304347826,31.2,20.333286666666666,10,25.766643333333334,296.9325571956522
2025-10-26,5.6265217391304345,7.6,6.269043333333333,10,6.934521666666667,39.01723690797101
2025-10-27,14.479130434782608,6.9,5.90014,10,6.40007,92.66744832173913
2025-10-28,29.88608695652174,42.7,21.23073333333333,10,31.965366666666668,955.3197277971016
2025-10-29,1.7834782608695654,23.7,15.520926666666666,10,19.610463333333332,34.97483504057971
2025-10-30,75.4495652173913,21.0,12.959083333333332,10,16.979541666666666,1281.0990363405795
2025-10-31,34.0104347826087,17.0,10.521533333333332,10,13.760766666666665,468.0096572753623
2025-11-01,11.821304347826086,14.9,7.302980000000001,11,11.10149,131.23409200434781
2025-11-02,8.93086956521739,35.7,18.237973333333333,11,26.968986666666666,240.85650222608695
2025-11-03,160.17782608695651,29.6,13.466766666666667,11,21.533383333333333,3449.1705306304348
2025-11-04,292.95217391304345,37.9,17.01923,11,27.459615,8044.353909065217
2025-11-05,31.36826086956522,19.5,9.011016666666666,11,14.255508333333333,447.1705042282609
2025-11-06,87.15260869565216,1.1,4.49671,11,2.798355,243.8839383065217
2025-11-07,35.69913043478261,0.3,0.13924666666666666,11,0.21962333333333334,7.840362023188407
2025-11-08,109.2613043478261,3.3,5.173783333333333,11,4.236891666666667,462.9283098804348
2025-11-09,19.28608695652174,13.7,8.464630000000001,11,11.082315000000001,213.73449076956524
2025-11-10,9.429565217391303,25.2,9.010546666666666,11,17.105273333333333,161.295290457971
2025-11-11,40.06173913043478,31.5,11.983849999999999,11,21.741925,871.0193275434782
2025-11-12,47.18130434782609,30.0,11.999296666666666,11,20.999648333333333,990.7907992123189
2025-11-13,4.064782608695652,13.5,7.841503333333333,11,10.670751666666666,43.37428579637681
